,views,likes,dislikes,comment_count,comments_disabled,engageScore
views,1.0,0.7790939938917105,0.4531982118100838,0.5269888890494723,-0.007972331298801276,0.7337391290972278
likes,0.7790939938917105,1.0,0.49083286110483726,0.8203043507985734,-0.028042901382486992,0.9700934229219735
dislikes,0.4531982118100838,0.49083286110483726,1.0,0.6765050254624587,-0.0079523442113416,0.6526635610561587
comment_count,0.5269888890494723,0.8203043507985734,0.6765050254624587,1.0,-0.027013163913966756,0.923335424016557
comments_disabled,-0.007972331298801276,-0.028042901382486992,-0.0079523442113416,-0.027013163913966756,1.0,-0.027561452397493198
engageScore,0.7337391290972278,0.9700934229219735,0.6526635610561587,0.923335424016557,-0.027561452397493198,1.0
